Employee Identification;FirstName;LastName;Starting Day at the Company;Last Day at the Company;Company Internal Title;Employee Reports to;ADEmail;Company Department;Active or Inactive?;EmployeeType;PayZone;EmployeeClassificationType;TerminationType;TerminationDescription;DepartmentType;Division;DOB;State;JobFunctionDescription;GenderCode;LocationCode;MaritalDesc;Performance Score;Current Employee Rating;Annual Gross Fixed Salary (USD)
1 367;Bryce;Higgins;2020-10-06;;SENIOR NETWORK ENG;Jeremy Frye;bryce.higgins@bilearner.com;WBL;Active;Part-Time;Zone B;Temporary;Unk;;IT/IS;Executive;1990-08-12;MA;Coordinator;Female;61 754;Divorced;Exceeds;3;161576
1 368;Beatrice;Bean;2020-04-04;;Senior Accountant;Leah Boyd;beatrice.bean@bilearner.com;PYZ;Active;Part-Time;Zone C;Temporary;Unk;;Admin Offices;General - Sga;1993-08-26;MA;Estimator;Female;24 157;Widowed;Exceeds;3;59314
1 369;Shea;Novak;2021-03-26;;Administrative Assistant;Darren Zimmerman;shea.novak@bilearner.com;CCDR;Active;Contract;Zone C;Full-Time;Unk;;Sales;Aerial;1974-03-24;MA;Foreman;Female;6 564;Married;Exceeds;3;74939
1 370;Mateo;Mcdaniel;2022-05-19;;Administrative Assistant;Tommy Obrien;mateo.mcdaniel@bilearner.com;SVG;Active;Part-Time;Zone A;Temporary;Unk;;Admin Offices;General - Con;1992-12-13;MA;Locator;Female;55 619;Married;Exceeds;3;71273
1 371;Arianna;Carlson;2021-08-28;2021-10-16;Accountant I;Mrs. Nicole Garrison MD;arianna.carlson@bilearner.com;EW;Active;Contract;Zone A;Part-Time;Involuntary;Tax thousand few tonight seek.;Admin Offices;Field Operations;1957-05-07;MA;Technician;Female;26 844;Married;Exceeds;3;54042
1 372;Frankie;Davenport;2022-11-24;;Accountant I;Gary Clark;frankie.davenport@bilearner.com;MSC;Active;Contract;Zone A;Full-Time;Unk;;Admin Offices;Aerial;1991-08-19;MA;Foreman;Male;34 610;Single;Exceeds;3;72236
1 373;Morgan;Hammond;2022-01-12;2022-11-11;Accountant I;Tina Shaw;morgan.hammond@bilearner.com;TNS;Active;Contract;Zone A;Part-Time;Resignation;Account Republican reduce right.;Admin Offices;Field Ops;1986-04-20;MA;Laborer;Male;20 630;Divorced;Exceeds;3;54082
1 374;Judith;Mccullough;2019-07-07;;SENIOR NETWORK ENG;Stephen Myers;judith.mccullough@bilearner.com;PYZ;Active;Part-Time;Zone B;Temporary;Unk;;IT/IS;Aerial;1942-09-12;MA;Foreman;Female;78 109;Married;Exceeds;3;57325
1 375;Luca;Francis;2021-07-14;;Sr. Accountant;Jeremy Anderson;luca.francis@bilearner.com;PYZ;Active;Contract;Zone B;Full-Time;Unk;;Admin Offices;Technology / It;1999-07-07;MA;Intern;Female;1 498;Divorced;Exceeds;3;963479
1 376;Mallory;Figueroa;2019-12-03;2022-02-10;Administrative Assistant;Linda Brown;mallory.figueroa@bilearner.com;CCDR;Active;Full-Time;Zone B;Temporary;Retirement;Example field consider before old yes on since.;Sales;Field Ops;1958-12-08;MA;Supervisor;Female;30 890;Single;Exceeds;3;58154
1 377;Larissa;Douglas;2021-03-03;2021-07-10;Administrative Assistant;Harry Ellis;larissa.douglas@bilearner.com;SVG;Active;Part-Time;Zone A;Full-Time;Resignation;Current budget certain interview increase.;Admin Offices;General - Con;1968-05-18;MA;Technician;Female;67 773;Divorced;Exceeds;3;74202
1 378;Konnor;Rivas;2022-06-13;;Accountant I;Michael Mathis;konnor.rivas@bilearner.com;EW;Active;Full-Time;Zone C;Part-Time;Unk;;Admin Offices;Fielders;1975-03-06;MA;Engineer;Female;12 640;Married;PIP;3;69786
1 379;Fernanda;Yu;2023-01-23;;Accountant I;Vincent Snyder;fernanda.yu@bilearner.com;MSC;Active;Part-Time;Zone A;Temporary;Unk;;Admin Offices;General - Sga;1984-10-21;MA;Supervisor;Male;64 384;Widowed;Exceeds;3;61473
1 380;Solomon;Paul;2020-09-06;;Accountant I;Mr. Richard Hicks MD;solomon.paul@bilearner.com;TNS;Active;Part-Time;Zone A;Temporary;Unk;;Admin Offices;Field Operations;1953-05-04;MA;Laborer;Male;3 676;Single;Exceeds;3;55679
1 381;Emiliano;Young;2022-10-17;;Sr. Network Engineer;Chad Crawford;emiliano.young@bilearner.com;PYZ;Active;Full-Time;Zone A;Temporary;Unk;;IT/IS;Aerial;2000-11-01;MA;Foreman;Female;71 974;Single;PIP;3;57325
1 382;Mason;Ellis;2019-06-07;;Senior Accountant;Ana Henry;mason.ellis@bilearner.com;TNS;Active;Full-Time;Zone B;Part-Time;Unk;;Admin Offices;Field Operations;1968-03-16;MA;Supervisor;Female;27 614;Widowed;Exceeds;3;72873
1 383;Athena;Moore;2022-01-28;2022-09-16;Sr. Accountant;Alan Rios;athena.moore@bilearner.com;BPC;Active;Contract;Zone C;Part-Time;Resignation;Affect bar himself mention serious.;Admin Offices;General - Con;1994-10-10;MA;Technician;Female;88 549;Divorced;Exceeds;3;74525
1 384;Karla;Farrell;2020-07-01;2021-03-05;Administrative Assistant;Mrs. Tammy Ballard;karla.farrell@bilearner.com;CCDR;Active;Part-Time;Zone B;Full-Time;Resignation;Thousand every job spring more store.;Admin Offices;Field Operations;1956-03-12;MA;Groundman;Female;14 083;Single;PIP;3;57380
1 385;Anderson;Meadows;2020-05-30;;Administrative Assistant;Brittany Glover;anderson.meadows@bilearner.com;SVG;Active;Full-Time;Zone C;Part-Time;Unk;;Admin Offices;Field Operations;1966-05-09;MA;Laborer;Female;37 965;Divorced;PIP;3;74140
1 386;Jacey;Braun;2019-10-05;2023-02-04;Accountant I;Joseph Edwards;jacey.braun@bilearner.com;EW;Active;Contract;Zone C;Full-Time;Involuntary;Realize view write beautiful.;Admin Offices;General - Con;1976-08-19;MA;Technician;Female;13 405;Married;Exceeds;3;76900
1 387;Nathan;Kline;2021-11-06;2023-04-20;Accountant I;Sean Hall;nathan.kline@bilearner.com;MSC;Active;Contract;Zone B;Full-Time;Voluntary;Training run sport prevent toward yet.;Admin Offices;General - Con;1951-08-27;MA;Laborer;Male;63 614;Divorced;PIP;3;78849
1 388;Gabriella;Benitez;2019-05-09;2020-05-07;Accountant I;Jamie Gardner;gabriella.benitez@bilearner.com;TNS;Active;Part-Time;Zone B;Full-Time;Resignation;Approach better little check.;Admin Offices;Field Operations;1970-12-23;MA;Construction Manager;Female;31 721;Single;Exceeds;3;53263
1 389;Juan;Gonzalez;2019-10-28;;Production Tech II;James Hines;juan.gonzalez@bilearner.com;NEL;Active;Part-Time;Zone A;Full-Time;Unk;;Production       ;Isp;1962-11-11;MA;Manager;Male;2 128;Widowed;Exceeds;3;73577
1 390;Cayo;Gonzalez;2019-01-11;;Production Technician I;Matthew Allen;cayo.gonzalez@bilearner.com;SVG;Active;Contract;Zone C;Part-Time;Unk;;Production       ;General - Con;1955-12-21;MA;Lineman;Male;2 108;Married;Exceeds;3;60657
1 391;Taylor;Sparks;2020-04-02;;Production Technician I;Janet Jones;taylor.sparks@bilearner.com;MSC;Active;Contract;Zone A;Temporary;Unk;;Production       ;Wireless;1941-11-18;MA;Supervisor;Female;2 093;Single;Needs Improvement;3;53817
1 392;Jeanette;Tippett;2019-06-07;2019-08-15;Production Tech I;David Stephens;jeanette.tippett@bilearner.com;PL;Active;Part-Time;Zone A;Part-Time;Involuntary;Because wind like.;Production       ;Field Operations;1955-02-25;MA;Operator;Female;2 093;Widowed;Exceeds;3;66217
1 393;Rose;Ivey;2021-11-22;2022-11-23;Production Technician I;Abigail Johnson;rose.ivey@bilearner.com;SVG;Active;Part-Time;Zone C;Part-Time;Voluntary;On beyond process before event.;Production       ;General - Con;1947-03-20;MA;Flagger;Female;1 775;Single;Exceeds;3;70225
1 394;Elijian;Clukey;2019-01-19;;Production Technician I;Wesley Stephens;elijian.clukey@bilearner.com;NEL;Active;Full-Time;Zone A;Part-Time;Unk;;Production       ;Field Operations;1943-05-13;MA;Laborer;Male;2 134;Married;Exceeds;3;63199
1 395;Jordan;Winthrop;2021-12-17;2021-12-26;Production Tech II;Mr. Kevin Reid;jordan.winthrop@bilearner.com;SVG;Voluntarily Terminated;Full-Time;Zone C;Part-Time;Resignation;Father change close.;Production       ;General - Con;1960-11-14;MA;Laborer;Male;2 045;Divorced;Exceeds;3;64018
1 396;Shari;Ngodup;2019-05-04;2021-02-15;Production Tech I;Jorge Taylor;shari.ngodup@bilearner.com;SVG;Active;Part-Time;Zone A;Full-Time;Resignation;Vote look produce consider Mr war.;Production       ;General - Eng;1956-09-07;MA;Engineer;Female;1 810;Married;Exceeds;3;59057
1 397;John;Kretschmer;2018-12-25;2019-03-11;Production Technician I;Robert Gonzalez;john.kretschmer@bilearner.com;MSC;Active;Contract;Zone A;Part-Time;Voluntary;Science fall always move thank seat huge.;Production       ;General - Con;1981-02-26;MA;Laborer;Male;1 801;Single;Exceeds;3;73760
1 398;Debbie;Mangal;2021-01-03;2023-03-08;Production Technician I;Kristin Baird;debbie.mangal@bilearner.com;PYZ;Active;Part-Time;Zone C;Full-Time;Involuntary;Mr chair subject then technology.;Production       ;Splicing;1972-12-12;MA;Runner;Female;2 451;Single;Needs Improvement;3;59262
1 399;Helen;Billis;2023-06-15;;Production Technician I;Mrs. Sabrina Reed;helen.billis@bilearner.com;BPC;Active;Part-Time;Zone C;Full-Time;Unk;;Production       ;General - Con;1977-12-15;MA;Foreman;Female;2 031;Widowed;Needs Improvement;3;67557
1 400;Yen;Johnston;2018-08-29;2023-02-09;Production Tech II;Larry Frost;yen.johnston@bilearner.com;NEL;Active;Full-Time;Zone B;Full-Time;Resignation;Ability bed police onto exactly south.;Production       ;Field Operations;1955-04-03;MA;Laborer;Female;2 128;Divorced;Exceeds;3;66951
1 401;Hong;Pham;2019-01-04;;Production Technician I;Michael Holland;hong.pham@bilearner.com;PL;Active;Contract;Zone B;Part-Time;Unk;;Production       ;Splicing;1967-08-17;MA;Lineman;Male;2 451;Single;Exceeds;3;55436
1 402;Linda;Bachiochi;2021-09-10;;Production Technician I;Kirk Brooks;linda.bachiochi@bilearner.com;MSC;Active;Full-Time;Zone B;Full-Time;Unk;;Production       ;General - Sga;1988-10-12;MA;Technician;Female;1 902;Divorced;Exceeds;3;75578
1 403;Lily;DiNocco;2021-07-08;;Production Technician I;Austin Dixon;lily.dinocco@bilearner.com;SVG;Active;Full-Time;Zone B;Temporary;Unk;;Production       ;Field Operations;1944-12-09;MA;Technician;Female;2 351;Widowed;Exceeds;3;77955
1 404;Ned;Miller;2018-11-01;2021-04-29;Production Tech II;James Guzman;ned.miller@bilearner.com;BPC;Voluntarily Terminated;Contract;Zone B;Part-Time;Involuntary;Third cost above management anything.;Production       ;Fin & Acc;1978-12-06;MA;Manager;Male;2 472;Single;Exceeds;3;78145
1 405;Shana;Petingill;2018-12-08;2022-06-11;Production Tech II;Lisa Peters;shana.petingill@bilearner.com;PL;Active;Part-Time;Zone A;Temporary;Involuntary;President TV note reach bad.;Production       ;Field Operations;1977-03-30;MA;Construction Manager;Female;2 050;Single;Exceeds;3;61469
1 406;Jennifer;Cloninger;2022-10-25;;Production Technician II;Gloria Yang;jennifer.cloninger@bilearner.com;PYZ;Active;Part-Time;Zone A;Full-Time;Unk;;Production       ;General - Con;1982-11-10;MA;Flagger;Female;1 752;Single;Exceeds;3;54917
1 407;Elias;Robinson;2023-04-04;;Production Technician I;Stephanie Kelly;elias.robinson@bilearner.com;TNS;Active;Full-Time;Zone B;Temporary;Unk;;Production       ;General - Sga;1983-03-30;MA;Administrative;Male;1 730;Married;Exceeds;3;67651
1 408;Libby;Fidelia;2021-03-17;;Production Technician I;Dr. Michael Melendez;libby.fidelia@bilearner.com;PL;Active;Contract;Zone B;Part-Time;Unk;;Production       ;Field Operations;1980-12-03;MA;Supervisor;Female;2 155;Single;Exceeds;3;55357
1 409;Catherine;Ybarra;2019-03-11;2021-09-06;Production Technician I;Amanda Perez;catherine.ybarra@bilearner.com;MSC;Voluntarily Terminated;Full-Time;Zone A;Part-Time;Retirement;On sport growth now general.;Production       ;General - Con;1981-04-02;MA;Technician;Female;2 458;Widowed;Exceeds;3;70284
1 410;Ashanti;Price;2022-02-25;2023-04-28;Production Technician I;Tina Griffin;ashanti.price@bilearner.com;SVG;Active;Contract;Zone C;Temporary;Resignation;Else behind none grow up significant behavior.;Production       ;Wireline Construction;1945-08-08;MA;Laborer;Female;26 720;Widowed;Exceeds;3;52512
1 411;Makenna;Rojas;2019-07-02;;Production Technician I;Joshua Gregory;makenna.rojas@bilearner.com;EW;Active;Part-Time;Zone C;Part-Time;Unk;;Production       ;Aerial;1980-05-26;MA;Foreman;Female;78 612;Married;Exceeds;3;78009
1 412;Rory;Stone;2019-06-20;;Production Technician I;Kathleen Patterson;rory.stone@bilearner.com;MSC;Active;Part-Time;Zone B;Full-Time;Unk;;Production       ;Field Operations;1982-09-19;MA;Warehouse Technician;Female;75 935;Widowed;Exceeds;3;76606
1 413;Ann;Montgomery;2019-09-27;2023-02-08;Production Tech I;Maria Payne;ann.montgomery@bilearner.com;TNS;Active;Part-Time;Zone A;Full-Time;Retirement;Daughter case most. Even most man even.;Production       ;Fin & Acc;1943-03-12;MA;Accounting;Male;51 599;Widowed;Needs Improvement;3;55657
1 414;Erin;Holder;2022-11-15;2023-07-26;Production Technician I;Samantha Salas;erin.holder@bilearner.com;BPC;Active;Contract;Zone C;Full-Time;Involuntary;Else skin force security brother experience.;Production       ;Aerial;1966-06-03;MA;Labor;Male;95 839;Married;Exceeds;3;59468
1 415;Aubrey;Kim;2020-08-22;;Production Tech I;James Wilson;aubrey.kim@bilearner.com;CCDR;Active;Part-Time;Zone A;Part-Time;Unk;;Production       ;Field Operations;1977-08-14;MA;Tower Hand;Male;93 199;Divorced;Exceeds;3;60749
1 416;Edward;Love;2020-04-09;;Production Tech I;Brandon Oconnell;edward.love@bilearner.com;EW;Active;Part-Time;Zone B;Full-Time;Unk;;Production       ;Field Operations;1953-09-12;MA;Flagger;Male;39 796;Widowed;Exceeds;3;54584
1 417;Paisley;Avery;2021-03-30;;Production Tech I;Bobby Martinez;paisley.avery@bilearner.com;MSC;Active;Full-Time;Zone C;Part-Time;Unk;;Production       ;Aerial;1949-02-02;MA;Supervisor;Female;10 875;Single;Exceeds;3;73061
1 418;Kaiden;Leblanc;2018-09-26;;Production Tech I;Timothy Hill;kaiden.leblanc@bilearner.com;NEL;Active;Part-Time;Zone C;Temporary;Unk;;Production       ;Wireline Construction;2000-12-30;MA;Project Manager;Female;33 720;Married;Needs Improvement;3;78422
1 419;Shania;Bauer;2023-05-22;;Production Technician I;Michael Ingram;shania.bauer@bilearner.com;PL;Active;Contract;Zone C;Full-Time;Unk;;Production       ;Field Operations;1984-01-11;MA;Laborer;Female;50 647;Divorced;Exceeds;3;77948
1 420;Danna;Hines;2021-06-04;;Production Tech I;Jamie Ray;danna.hines@bilearner.com;PYZ;Active;Contract;Zone B;Temporary;Unk;;Production       ;Project Management - Con;1950-12-29;MA;Project Manager;Female;33 776;Divorced;Exceeds;3;57759
1 421;Bennett;Bowen;2019-10-22;2023-07-25;Production Technician I;Michael Reese;bennett.bowen@bilearner.com;SVG;Active;Contract;Zone C;Full-Time;Involuntary;Message eat guy pattern score suffer.;Production       ;General - Con;1948-11-30;MA;Administration;Female;24 552;Married;Exceeds;3;60226
1 422;Gianna;Lopez;2019-10-04;2020-10-18;Production Technician I;Justin Kent;gianna.lopez@bilearner.com;TNS;Future Start;Full-Time;Zone B;Full-Time;Involuntary;Buy ability certain question begin mind.;Production       ;Technology / It;1994-10-02;MA;Technician;Female;6 933;Divorced;Needs Improvement;3;1437281
1 423;Azaria;Young;2022-06-25;;Production Technician I;Thomas Leon;azaria.young@bilearner.com;WBL;Active;Full-Time;Zone A;Full-Time;Unk;;Production       ;Aerial;1992-03-12;MA;Laborer;Female;3 012;Single;Needs Improvement;3;62733
1 424;Aydin;Bautista;2021-11-17;2022-08-03;Production Technician I;Crystal Barnes;aydin.bautista@bilearner.com;BPC;Leave of Absence;Full-Time;Zone B;Part-Time;Voluntary;Sound there everybody anything.;Production       ;General - Con;1982-12-08;MA;Laborer;Female;60 993;Married;Needs Improvement;3;55458
1 425;Antoine;Schaefer;2019-08-04;;Production Technician I;Nicholas Oconnor;antoine.schaefer@bilearner.com;CCDR;Active;Part-Time;Zone B;Full-Time;Unk;;Production       ;Field Operations;1942-06-21;MA;Technician;Female;10 504;Single;Needs Improvement;3;77366
1 426;Milagros;Cobb;2022-03-08;2022-11-12;Production Technician I;Sarah Stevenson;milagros.cobb@bilearner.com;EW;Voluntarily Terminated;Full-Time;Zone A;Full-Time;Retirement;Hold season meeting voice.;Production       ;General - Con;2000-07-19;MA;Technician;Female;11 397;Widowed;Exceeds;3;60077
1 427;Jean;Duffy;2019-02-22;;Production Technician II;Barry Payne;jean.duffy@bilearner.com;CCDR;Active;Full-Time;Zone A;Part-Time;Unk;;Production       ;Engineers;1953-05-09;MA;Project Manager;Male;96 208;Divorced;Needs Improvement;3;113004
1 428;Campbell;Doyle;2022-12-08;;Production Technician II;Paula Ross;campbell.doyle@bilearner.com;SVG;Active;Full-Time;Zone C;Part-Time;Unk;;Production       ;Executive;1970-02-26;MA;Director;Male;76 607;Divorced;Exceeds;3;198921
1 429;Deven;Vincent;2019-11-22;2022-03-12;Production Tech II;Lisa Spencer;deven.vincent@bilearner.com;EW;Voluntarily Terminated;Contract;Zone B;Temporary;Resignation;History avoid music new teach south only require.;Production       ;Field Ops;1944-09-02;MA;Technician;Female;6 668;Divorced;Exceeds;3;66291
1 430;Evangeline;Downs;2023-02-13;2023-03-03;Production Tech II;Joseph Smith;evangeline.downs@bilearner.com;MSC;Voluntarily Terminated;Part-Time;Zone A;Temporary;Involuntary;Hour range a country focus.;Production       ;Yard (Material Handling);1959-01-19;MA;Shop;Female;36 785;Single;Needs Improvement;3;66968
1 431;Kaley;Ali;2019-03-15;;Production Technician II;Samantha Ross;kaley.ali@bilearner.com;TNS;Active;Full-Time;Zone B;Full-Time;Unk;;Production       ;Field Ops;1951-10-31;MA;Laborer;Female;16 451;Widowed;Exceeds;3;59356
1 432;Madeline;Bernard;2019-07-18;;Production Tech II;Timothy Johnston;madeline.bernard@bilearner.com;PYZ;Active;Contract;Zone A;Part-Time;Unk;;Production       ;Project Management - Con;1991-07-29;MA;Administration;Male;96 784;Married;Exceeds;3;71531
1 433;Alijah;Singh;2021-04-09;2021-11-28;Production Technician I;Brandi Ruiz;alijah.singh@bilearner.com;SVG;Active;Part-Time;Zone C;Part-Time;Voluntary;Tree network those success nature control.;Production       ;General - Con;1995-08-25;MA;Clerk;Female;40 314;Widowed;Needs Improvement;3;66733
1 434;Ayla;Roberts;2018-12-30;2023-03-30;Production Technician I;Desiree Martinez;ayla.roberts@bilearner.com;EW;Active;Part-Time;Zone C;Part-Time;Voluntary;Brother work amount rock newspaper.;Production       ;Splicing;1986-12-28;MA;Splicer;Female;88 408;Divorced;Exceeds;3;65645
1 435;Isai;Mcfarland;2021-07-30;;Production Technician I;Allison Sanders;isai.mcfarland@bilearner.com;MSC;Active;Contract;Zone C;Temporary;Unk;;Production       ;Field Ops;1998-11-29;MA;Laborer;Female;70 770;Single;Exceeds;3;78755
1 436;Brent;Dominguez;2022-10-28;;Production Technician I;Kimberly Meyer;brent.dominguez@bilearner.com;TNS;Active;Full-Time;Zone C;Temporary;Unk;;Production       ;Field Operations;1989-05-27;MA;Laborer;Male;35 871;Married;Needs Improvement;3;52637
1 437;Lorena;Graves;2020-10-29;;Production Tech I;James Kennedy;lorena.graves@bilearner.com;PYZ;Active;Contract;Zone C;Temporary;Unk;;Production       ;Project Management - Con;1996-06-25;MA;Manager;Male;13 357;Single;Exceeds;3;66697
1 438;Lucian;Mora;2023-03-17;2023-03-22;Production Technician I;Brianna Coleman;lucian.mora@bilearner.com;WBL;Active;Contract;Zone B;Part-Time;Voluntary;Order risk think. North born would might.;Production       ;Field Operations;1977-12-16;MA;Foreman;Male;51 453;Married;Exceeds;3;54673
1 439;Dangelo;Gould;2022-07-20;2023-04-26;Production Technician I;Daniel Mason;dangelo.gould@bilearner.com;NEL;Active;Full-Time;Zone A;Temporary;Voluntary;Establish go so someone might none stop citizen.;Production       ;General - Con;1988-01-24;MA;Laborer;Female;76 246;Widowed;Needs Improvement;3;60694
1 440;Humberto;Horn;2023-08-04;;Production Technician I;Tommy Green;humberto.horn@bilearner.com;PL;Active;Part-Time;Zone A;Temporary;Unk;;Production       ;Field Ops;1997-02-21;MA;Driver;Female;57 866;Single;Needs Improvement;3;56810
1 441;Miranda;Chavez;2021-11-26;2022-09-23;Production Technician I;Holly Lee;miranda.chavez@bilearner.com;BPC;Active;Contract;Zone A;Temporary;Voluntary;Show home than data her. Act speak also best.;Production       ;Field Operations;1982-03-16;MA;Laborer;Female;69 720;Married;Needs Improvement;3;72360
1 442;Makena;Mcintosh;2018-09-27;;Production Technician I;Jerome Warren;makena.mcintosh@bilearner.com;CCDR;Active;Full-Time;Zone A;Temporary;Unk;;Production       ;Safety;1993-07-10;MA;Safety;Female;31 956;Single;Needs Improvement;3;55054
1 443;Armani;Crawford;2019-08-04;;Production Technician I;Robert Carter;armani.crawford@bilearner.com;SVG;Active;Contract;Zone C;Part-Time;Unk;;Production       ;Field Operations;1960-02-25;MA;Technician;Female;96 317;Divorced;Needs Improvement;3;69310
1 444;Eugene;Bird;2019-10-03;;Production Technician I;John Mccarty;eugene.bird@bilearner.com;EW;Active;Contract;Zone C;Part-Time;Unk;;Production       ;General - Con;1972-02-21;MA;Laborer;Female;78 331;Divorced;Needs Improvement;3;79809
1 445;Connor;Larsen;2021-09-05;2022-09-29;Production Technician I;Felicia Goodwin;connor.larsen@bilearner.com;MSC;Future Start;Part-Time;Zone C;Part-Time;Voluntary;Party make program beat.;Production       ;Aerial;1963-12-16;MA;Labor;Female;89 203;Married;Exceeds;3;74174
1 446;Harley;Mccullough;2020-07-21;2023-02-28;Production Tech I;Joseph Riley;harley.mccullough@bilearner.com;TNS;Future Start;Full-Time;Zone B;Temporary;Involuntary;Be room ready hotel drug pressure.;Production       ;Aerial;1997-04-10;MA;Driver;Female;68 233;Married;Exceeds;3;75092
1 447;Lucian;Montoya;2022-12-12;2023-06-26;Production Technician I;Alexis Bell;lucian.montoya@bilearner.com;PYZ;Leave of Absence;Full-Time;Zone C;Part-Time;Resignation;Far special physical including shoulder among.;Production       ;Field Ops;1954-07-14;MA;Supervisor;Female;24 188;Single;Exceeds;3;76418
1 448;Shiloh;Baird;2020-09-13;;Production Technician I;Jesus Mejia;shiloh.baird@bilearner.com;WBL;Active;Part-Time;Zone A;Part-Time;Unk;;Production       ;General - Con;1976-08-13;MA;Technician;Female;72 868;Single;Needs Improvement;3;66425
1 449;Tara;Alvarado;2022-11-15;;Production Tech II;Ashley Gamble;tara.alvarado@bilearner.com;PL;Active;Part-Time;Zone B;Temporary;Unk;;Production       ;General - Sga;1965-09-14;MA;Administrator;Male;82 061;Divorced;Needs Improvement;3;76238
1 450;Raina;Vaughan;2020-02-07;2022-04-20;Production Technician II;Michael Rodriguez;raina.vaughan@bilearner.com;PYZ;Voluntarily Terminated;Full-Time;Zone C;Temporary;Retirement;Dog hot civil democratic tree public.;Production       ;Field Ops;1958-02-20;MA;Manager;Male;19 127;Single;Needs Improvement;3;63082
1 451;Sienna;Bullock;2022-12-31;;Production Tech II;Miguel Whitehead;sienna.bullock@bilearner.com;SVG;Active;Part-Time;Zone A;Part-Time;Unk;;Production       ;Splicing;1944-12-20;MA;Technician;Female;26 670;Widowed;Needs Improvement;3;76629
1 452;Tyrese;Goodman;2019-03-26;;Production Technician II;Lindsey Carter PhD;tyrese.goodman@bilearner.com;TNS;Active;Full-Time;Zone B;Full-Time;Unk;;Production       ;Field Operations;1953-03-29;MA;Driver;Female;86 883;Single;Needs Improvement;3;62192
1 453;Giovanni;Landry;2023-03-22;;Production Tech II;Sherry Jones;giovanni.landry@bilearner.com;WBL;Active;Full-Time;Zone C;Temporary;Unk;;Production       ;Engineers;1990-08-20;MA;Engineer;Male;83 496;Single;Needs Improvement;3;98706
1 454;Javon;Moses;2022-12-23;2022-12-25;Production Technician II;Ryan Cooke;javon.moses@bilearner.com;WBL;Voluntarily Terminated;Full-Time;Zone C;Temporary;Voluntary;How civil act war dinner even campaign language.;Production       ;General - Con;1977-03-12;MA;Lineman;Male;5 270;Married;Needs Improvement;3;57746
1 455;Alonso;Williams;2019-12-27;;Production Technician I;Sara Farrell;alonso.williams@bilearner.com;PL;Active;Contract;Zone C;Full-Time;Unk;;Production       ;General - Sga;1995-03-19;MA;Administrator;Female;18 041;Widowed;Needs Improvement;3;61826
1 456;Kamila;Rosales;2019-06-25;2019-07-09;Production Technician I;Brittany Payne;kamila.rosales@bilearner.com;PYZ;Active;Full-Time;Zone B;Full-Time;Resignation;Amount much food.;Production       ;Engineers;1956-10-08;MA;Engineer;Female;55 931;Married;Exceeds;3;107652
1 457;Jadiel;French;2018-11-23;;Production Technician I;Linda Boyer;jadiel.french@bilearner.com;SVG;Active;Contract;Zone A;Part-Time;Unk;;Production       ;Field Operations;1977-08-03;MA;Driller;Female;84 889;Married;Exceeds;3;60823
1 458;Brennan;Jefferson;2021-01-17;;Production Technician I;John Carter;brennan.jefferson@bilearner.com;TNS;Active;Full-Time;Zone A;Part-Time;Unk;;Production       ;WIRELINE CONSTRUCTION;1994-03-19;MA;Foreman;Female;20 292;Single;Exceeds;3;69437
1 459;Noe;Glenn;2021-09-08;;Production Technician I;Joshua Watkins;noe.glenn@bilearner.com;WBL;Active;Contract;Zone C;Temporary;Unk;;Production       ;Engineers;1946-08-12;MA;Technician;Male;46 927;Single;Exceeds;3;105032
1 460;Vaughn;Kim;2021-02-24;2022-06-18;Production Technician I;Adam Graves;vaughn.kim@bilearner.com;BPC;Active;Full-Time;Zone A;Temporary;Retirement;Deal strong chance cold.;Production       ;Wireline Construction;1955-05-29;MA;Foreman;Male;14 170;Divorced;Exceeds;3;60473
1 461;Anabel;Evans;2019-04-12;2020-09-28;Production Technician I;Shane Carr;anabel.evans@bilearner.com;CCDR;Active;Full-Time;Zone C;Full-Time;Retirement;Drive feel its former end allow.;Production       ;Project Management - Con;2001-03-03;MA;Technician;Female;82 370;Widowed;Exceeds;3;70384
1 462;Elisabeth;Irwin;2023-07-13;;Production Technician I;Kelly Patel;elisabeth.irwin@bilearner.com;EW;Active;Contract;Zone C;Temporary;Unk;;Production       ;Fielders;1960-03-07;MA;Engineer;Female;83 401;Widowed;Exceeds;3;62911
1 463;Bo;Bradford;2020-10-05;;Production Technician I;Maria Young;bo.bradford@bilearner.com;MSC;Active;Contract;Zone C;Temporary;Unk;;Production       ;Field Operations;1975-11-28;MA;Technician;Female;28 372;Divorced;Exceeds;3;56836
1 464;Dustin;Beasley;2019-01-27;;Production Technician I;Karen Cooke;dustin.beasley@bilearner.com;NEL;Active;Part-Time;Zone C;Full-Time;Unk;;Production       ;General - Sga;1957-10-01;MA;Supervisor;Female;7 304;Married;Exceeds;3;78848
1 465;Dean;Winters;2020-12-17;2021-11-20;Production Tech I;Tammy Gardner;dean.winters@bilearner.com;PL;Active;Part-Time;Zone A;Full-Time;Retirement;Big evening develop our peace how reality place.;Production       ;Technology / It;1958-06-22;MA;Analyst;Female;7 717;Single;Exceeds;3;187812
1 466;Chanel;Dougherty;2021-03-04;;Production Technician I;Jennifer Dillon;chanel.dougherty@bilearner.com;PYZ;Active;Full-Time;Zone A;Temporary;Unk;;Production       ;Billable Consultants;1989-03-08;MA;Engineer;Female;50 559;Widowed;Exceeds;3;78927
